episode	event_id	mjd	ra	decl
0	0	59698.03490842762	274.31501732723837	20.02229883373664
0	1	59987.53064111103	97.2176390634375	22.57340266506371
0	2	60160.66258789528	50.720013234103874	-55.85446737880889
0	3	60168.16470617828	180.13938182727256	58.95009554929264
0	4	60303.25565789593	119.1492813076236	3.008221685149252
0	5	60330.534772431725	70.89536826042763	3.511610686349158
0	6	60372.09523828376	304.44761417244285	-4.124415841918022
0	7	60434.89162796452	86.4050487189167	-58.21291495295898
0	8	60540.83622304797	224.0134561497801	-21.18048214241989
0	9	60817.86893085058	3.4091660759353317	54.90594764683002
0	10	60880.53804120291	247.04837474636088	-22.46700288763435
0	11	60940.34225060254	112.93766204135738	-17.33588783823953
0	12	61012.80740491592	100.75701731333561	15.73640590075469
0	13	61022.753865081715	46.41973991079544	-34.14358481669956
0	14	61025.08530010826	83.59199683386447	9.185517888474365
0	15	61159.633787134684	67.11543353576667	15.793691109248414
0	16	61166.1919887532	243.01756946368187	33.575318670143524
0	17	61215.85006427027	257.71806631277445	23.45931160157801
0	18	61559.9530568101	65.39398454675569	-59.49404574364536
0	19	61624.17974962061	301.74363683922485	39.390418787687594
0	20	61675.12989290211	355.1149030987822	-31.742629773711826
0	21	61768.68771721208	49.20631502428165	23.700425102132243
0	22	61856.71659352314	179.61836559988012	-76.98727659091307
0	23	61868.19529084157	327.0223246658393	16.070685129532777
0	24	61907.56969830421	132.7524504357633	15.397035915908262
0	25	62074.09304022514	52.93319886970767	-15.805368758112593
0	26	62242.856461441006	105.93823087773285	17.063825008687544
0	27	62463.851219813005	65.69411432935783	-3.9857617878549405
0	28	62520.3254530995	7.486105586429517	29.922756388261725
0	29	62562.61109178314	72.24519393211142	-58.30030409057679
0	30	62638.8931930735	302.4451717148643	-40.87304636795403
0	31	62663.433809133996	66.71396611105479	4.70359200773666
0	32	62814.2531013064	139.6722575179673	8.188513538353106
0	33	62973.24908336595	191.27122405166025	-22.093937971021816
0	34	63105.44620690375	7.000815272787349	-41.56503329796445
0	35	63159.54657166706	115.15986448501457	-18.767439124637605
